ID,regime_wade
08GA047,Rainfall
08GA061,Rainfall
08GA065,Rainfall
08GB007,Rainfall
08HA001,Rainfall
08HA003,Rainfall
08HA010,Rainfall
08HA016,Rainfall
08HA026,Rainfall
08HB002,Rainfall
08HB032,Rainfall
08MH006,Rainfall
08MH029,Rainfall
08MH076,Rainfall
08MH108,Rainfall
08GA071,Snow.Glacial
08GA072,Snow.Glacial
08ME023,Snow.Glacial
08MF062,Snow.Glacial
08MF065,Snow.Glacial
08MG005,Snow.Glacial
08MG019,Snow.Glacial
08MG021,Snow.Glacial
08GA054,Hybrid
08HB024,Hybrid
08HB025,Hybrid
08HB037,Hybrid
08HB074,Hybrid
08HD011,Hybrid
08HD015,Hybrid
08MF068,Hybrid
08MG001,Hybrid
08MG013,Hybrid
08MG016,Hybrid
08MG056,Hybrid
08MH103,Hybrid
08MG141,Hybrid
